t,theta1,theta2,theta3,theta4,dtheta3,dtheta4,foot_x,foot_y,foot_z,link3_z,link4_z,grf_contact,grf_sensor,tau_hip,tau_knee,estado_fsm,en_vuelo
0.054,0.19871818474084402,0.2058524334500978,0.4193903575488553,-1.3019717019177723,0.7631514557917566,-0.03031554411234767,-0.6641742269100905,-0.10146949821795753,0.014828374231565647,0.17006258084584108,0.11563447748163799,36.11812994841953,36.11812994841953,5.0,5.0,CARGA,0
0.055,0.1985341018587468,0.20578921285341928,0.4202002908087586,-1.3020037731224694,0.8099332599032959,-0.032071204697160655,-0.6641840096182037,-0.10146781701745441,0.01481899918384788,0.17010119443124877,0.11573719488489864,36.511139446129036,36.511139446129036,5.0,5.0,CARGA,0
0.056,0.19833863598308824,0.20572190063864906,0.42105657828378784,-1.3020375575749734,0.8562874750292577,-0.033784452503959096,-0.6641946327750776,-0.10146549997081925,0.01480947690389503,0.17014251777183653,0.1158465883130308,36.90222305205768,36.90222305205768,5.0,5.0,CARGA,0
0.057,0.1981318843899289,0.20565055025020137,0.4219587931483456,-1.3020730125348337,0.9022148645577486,-0.035454959860205006,-0.6642060906170523,-0.10146255753623867,0.014799811204843749,0.17018651589748507,0.11596259300697223,37.29131468809578,37.29131468809578,5.0,5.0,CARGA,0
0.058,0.19791394331877857,0.20557521507171608,0.42290650966519056,-1.302110095009001,0.9477165168449171,-0.03708247416737167,-0.6642183777363456,-0.10145899992913279,0.014790006641266992,0.17023315393996813,0.11608514463534456,37.67835242138308,37.67835242138308,5.0,5.0,CARGA,0
0.059000000000000004,0.19768490795669785,0.2054959485077152,0.42389930348369587,-1.302148761824995,0.9927938185053351,-0.03866681599394033,-0.6642314890463569,-0.10145483713520095,0.014780068411703387,0.17028239707343085,0.11621417924908148,38.06327832345776,38.06327832345776,5.0,5.0,CARGA,0
0.06,0.19744487242475797,0.20541280405678153,0.4249367519133296,-1.3021889697019007,1.0374484296337014,-0.04020787690569949,-0.6642454197497597,-0.10145007892173177,0.014770002269495583,0.17033421046083524,0.11634963323999609,38.446038329935206,38.446038329935206,5.0,5.0,CARGA,0
0.061,0.19719392976673314,0.20532583537687127,0.4260184341741421,-1.3022306753189778,1.0816822608125098,-0.04170561707706193,-0.6642601653091829,-0.10144473484739827,0.014759814441327498,0.17038855920594626,0.11649144330303102,38.826582101277275,38.826582101277275,5.0,5.0,CARGA,0
0.062,0.1969321719399019,0.20523509634333412,0.42714393162591485,-1.3022738353817007,1.1254974517727705,-0.04316006272287641,-0.6642757214202905,-0.1014388142707334,0.014749511552895278,0.17044540831046012,0.1166395464019521,39.204862885108426,39.204862885108426,5.0,5.0,CARGA,0
0.063,0.19665968980783677,0.20514064110017918,0.4283128279775009,-1.302318406685087,1.168896351586076,-0.04457130338634371,-0.6642920839870875,-0.10143232635745753,0.014739100561180649,0.1705047226358975,0.11679387973825171,39.580837380487786,39.580837380487786,5.0,5.0,CARGA,0
0.064,0.19637657313506449,0.20504252410508975,0.4295247094777774,-1.302364346174202,1.2118815002764376,-0.045939489115048054,-0.6643092490992889,-0.10142528008681115,0.014728588692834568,0.1705664668699114,0.11695438072304645,39.95446560446437,39.95446560446437,5.0,5.0,CARGA,0
0.065,0.1960829104965794,0.20494079830127834,0.43077916433103575,-1.3024116106594457,1.2544548532583963,-0.04726448524365049,-0.6643272130115938,-0.10141768425702469,0.014717983388215061,0.17063060549668108,0.11712098695176346,40.3243143337947,40.3243143337947,5.0,5.0,CARGA,0
0.066,0.19577878515024671,0.20483542940073526,0.432075748635866,-1.3024601410646433,1.2965843048302856,-0.04853040519764032,-0.6643459725798785,-0.10140954741080979,0.01470729350513679,0.17069710399180274,0.11729363734389313,40.626115354330125,40.626115354330125,5.0,5.0,CARGA,0
0.067,0.1954642767202157,0.20472638924949396,0.433414034391872,-1.3025098755978113,1.338285756005991,-0.049734533167924096,-0.6643655461375249,-0.10140087420460375,0.014696586820400648,0.17076598485657218,0.1174723255553407,40.91989477564239,40.91989477564239,5.0,5.0,CARGA,0
0.068,0.19513946130662047,0.20461365558041336,0.4347936090131256,-1.3025607503321026,1.3795746212535804,-0.05087473429125569,-0.6643859505871678,-0.10139166947024261,0.014685925986313283,0.17083726658644258,0.11765704269849618,41.20581297074439,41.20581297074439,5.0,5.0,CARGA,0
0.069,0.1948044115945962,0.20449721177285188,0.4362140748545585,-1.3026126997336132,1.4204658414329157,-0.051949401510619886,-0.6644072014771745,-0.10138193816381152,0.01467536881274295,0.17091096383244822,0.11784777745645854,41.48403263371529,41.48403263371529,5.0,5.0,CARGA,0
0.07,0.19445919696234973,0.20437704661927805,0.43767504875034224,-1.3026656571397026,1.4609738957837641,-0.05295740608937692,-0.6644293130747723,-0.10137168532096741,0.01466496853633327,0.17098708755811037,0.11804451619417189,41.75471817297598,41.75471817297598,5.0,5.0,CARGA,0
0.07100000000000001,0.1941038835880546,0.20425315409883835,0.4391761615634884,-1.3027195551912718,1.501112813146149,-0.05389805156914476,-0.6644522984359753,-0.10136091601801855,0.014654774077396446,0.1710656451917962,0.11824724306633896,42.0180351592916,42.0180351592916,5.0,5.0,CARGA,0
0.07200000000000001,0.1937385345553691,0.20412553315788018,0.4407170577460547,-1.3027743262222435,1.5408961825663259,-0.05477103097165957,-0.664476169472444,-0.10134963533811472,0.01464483028497926,0.17114664077451885,0.11845594012201047,42.2741498240716,42.2741498240716,5.0,5.0,CARGA,0
0.073,0.19336320995740172,0.20399418749740827,0.4422973949094718,-1.3028299026092982,1.580337163417086,-0.055576387054689515,-0.6645009370154155,-0.10133784834197682,0.014635178170579924,0.17123007510317959,0.11867058740577596,42.52322860389788,42.52322860389788,5.0,5.0,CARGA,0
0.074,0.19297796699897216,0.20385912536743492,0.4439168434046114,-1.3028862170847397,1.6194484951396166,-0.05631447544155036,-0.6645266108768141,-0.10132556004265059,0.014625855130973836,0.17131594586926857,0.11889116305550973,42.76543772756321,42.76543772756321,5.0,5.0,CARGA,0
0.075,0.19258286009703687,0.2037203593681685,0.4455750859113069,-1.3029432030151926,1.658242506695496,-0.05698593045286782,-0.6645531999076745,-0.10131277538382669,0.0146168951605843,0.17140424779305025,0.1191176433966434,43.00094284223664,43.00094284223664,5.0,5.0,CARGA,0
0.076,0.1921779409791681,0.20357790625797098,0.4472718170371082,-1.3030007946486706,1.696731125801294,-0.05759163347794024,-0.6645807120539676,-0.10129949922131873,0.014608329053823643,0.17149497275327072,0.11935000303295928,43.22990867562611,43.22990867562611,5.0,5.0,CARGA,0
0.077,0.19176325877999262,0.2034317867680021,0.44900674292511256,-1.303058927332402,1.7349258880043428,-0.05813268373141,-0.6646091544099457,-0.10128573630733267,0.014600184597808888,0.17158810991243356,0.119588214933912,43.45249873129236,43.45249873129236,5.0,5.0,CARGA,0
0.078,0.19133886013551252,0.20328202542345797,0.4507795808707588,-1.303117537703651,1.7728379456462682,-0.058610371248962484,-0.6646385332690973,-0.1012714912771994,0.014592486755842182,0.1716836458376986,0.11983225051850152,43.668875014497246,43.668875014497246,5.0,5.0,CARGA,0
0.079,0.19090478927524487,0.20312865037130107,0.4525900589475095,-1.3031765638556345,1.810478076750646,-0.059026151983417166,-0.6646688541728083,-0.10125676863828384,0.014585257842031282,0.17178156461746502,0.12008207973573251,43.87919778618196,43.87919778618196,5.0,5.0,CARGA,0
0.08,0.19046108811213017,0.20297169321437145,0.45443791564137187,-1.3032359454805045,1.847856693862416,-0.059381624869902706,-0.664700121956816,-0.10124157276080581,0.014578517687413473,0.17188184797370692,0.12033767114170502,44.08362534285712,44.08362534285712,5.0,5.0,CARGA,0
0.081,0.1900077963301714,0.20281118885176094,0.45632289949423116,-1.3032956239912403,1.884983852859265,-0.05967851073580726,-0.6647323407955381,-0.10122590787034333,0.01457228379792909,0.1719844753701345,0.12059899197339052,44.28231382038072,44.28231382038072,5.0,5.0,CARGA,0
0.082,0.18954495146977626,0.20264717532532683,0.45824476875598014,-1.3033555426241783,1.9218692617489552,-0.059918632937873896,-0.664765514244364,-0.10120977804181144,0.014566571504580988,0.17208942411625872,0.1208660082191538,44.47541701974731,44.47541701974731,5.0,5.0,CARGA,0
0.083,0.18907258901078483,0.20247969367221577,0.46020329104544144,-1.3034156465237934,1.9585222894613288,-0.06010389961519065,-0.6647996452799798,-0.10119318719473233,0.014561394106102785,0.172196669467441,0.12113868468608832,44.6630862531638,44.6630862531638,5.0,5.0,CARGA,0
0.084,0.18859074245317342,0.2023087877832645,0.46219824302008083,-1.3034758828112463,1.9949519746393765,-0.060236287452907766,-0.6648347363388034,-0.101176139089631,0.014556763004448359,0.17230618472101378,0.12141698506423729,44.84547020881525,44.84547020881525,5.0,5.0,CARGA,0
0.085,0.18809944339543352,0.20213450426714097,0.464229410054511,-1.3035362006381035,2.0311670344301658,-0.0603178268573208,-0.6648707893536026,-0.10115863732541447,0.014552687833400205,0.1724179413085591,0.1217008719877758,45.022714832863414,45.022714832863414,5.0,5.0,CARGA,0
0.08600000000000001,0.18759872161063176,0.20195689232008615,0.46629658592778456,-1.303596551226552,2.0671758732735235,-0.060350588448482685,-0.6649078057883636,-0.10114068533759987,0.014549176580588144,0.17253190888443543,0.12199030709323347,45.19496322730876,45.19496322730876,5.0,5.0,CARGA,0
0.08700000000000001,0.18708860512016262,0.20177600360111503,0.46839957251946857,-1.3036568878973338,2.102986591684028,-0.06033667078176483,-0.6649457866714751,-0.10112228639727841,0.014546235703196284,0.17264805541064532,0.12228525107483976,45.362355562466064,45.362355562466064,5.0,5.0,CARGA,0
0.088,0.18656912026521197,0.20159189211253373,0.4705381795144886,-1.3037171660865485,2.1386069950200417,-0.0602781892148089,-0.6649847326272962,-0.10110344361071358,0.014543870237626835,0.17276634723813628,0.1225856637370745,45.525029002891,45.525029002891,5.0,5.0,CARGA,0
0.089,0.1860402917759537,0.20140461408562899,0.4727122241167207,-1.3037773433523896,2.174044602232099,-0.06017726584107275,-0.6650246439061641,-0.10108415991947942,0.014542083903379355,0.17288674918462893,0.12289150404450797,45.68311764568584,45.68311764568584,5.0,5.0,CARGA,0
0.09,0.18550214283850694,0.20121422787138535,0.47492153077130267,-1.3038373793728053,2.2093066545819515,-0.06003602041570047,-0.6650655204129062,-0.10106443810106092,0.01454087920139649,0.17300922460906804,0.12320273016901633,45.83675247017951,45.83675247017951,5.0,5.0,CARGA,0
0.091,0.18495469515968452,0.20102079383608593,0.4771659308956255,-1.3038972359350092,2.244400124322834,-0.0598565622037698,-0.6651073617339127,-0.10104428076984326,0.014540257507113977,0.17313373548278993,0.1235192995344565,45.98606129807119,45.98606129807119,5.0,5.0,CARGA,0
0.092,0.18439796902956718,0.20082437426165248,0.4794452626189566,-1.3039568769176941,2.279331723331086,-0.05964098268504656,-0.6651501671628253,-0.1010236903784272,0.01454021915845026,0.17326024245750268,0.12384116885888662,46.13116876316345,46.13116876316345,5.0,5.0,CARGA,0
0.093,0.18383198338194093,0.2006250332505819,0.4817593705306356,-1.3040162682667473,2.3141079116790175,-0.059391349053274874,-0.6651939357248937,-0.1010026692192148,0.014540763538955406,0.1733887049301726,0.12416829419441605,46.272196289906034,46.272196289906034,5.0,5.0,CARGA,0
0.094,0.18325675585263737,0.20042283663533672,0.4841081054367745,-1.304075377965199,2.348734906138893,-0.059109698451709373,-0.6652386662000608,-0.10098121942621513,0.014541889156337945,0.17351908110491135,0.12450063096476836,46.40926207999438,46.40926207999438,5.0,5.0,CARGA,0
0.095,0.18267230283581928,0.20021785189204905,0.48649132412538254,-1.3041341759980891,2.3832186886080042,-0.05879803289011009,-0.6652843571448143,-0.10095934297702705,0.014543593716573072,0.1736513280519566,0.12483813400063981,46.54248110635427,46.54248110635427,5.0,5.0,CARGA,0
0.096,0.18207863953825532,0.20001014805839867,0.4889088891398276,-1.304192634312881,2.4175650144450778,-0.058458314791726175,-0.6653310069128665,-0.1009370416949616,0.01454587419379566,0.17378540176384008,0.125180757572936,46.6719651138537,46.6719651138537,5.0,5.0,CARGA,0
0.097,0.18147578003162945,0.19979979565552816,0.49136066856053623,-1.3042507267760028,2.4517794207085974,-0.0580924631219447,-0.6653786136747012,-0.10091431725126793,0.014548726896167166,0.17392125720883203,0.12552845542396493,46.79782262616453,46.79782262616453,5.0,5.0,CARGA,0
0.098,0.18086373730293218,0.1995868666138597,0.4938465357948243,-1.304308429126056,2.485867234288065,-0.05770235005326672,-0.66542717543604,-0.10089117116743562,0.014552147527902737,0.17405884838175373,0.12588118079666483,46.920158958212824,46.920158958212824,5.0,5.0,CARGA,0
0.099,0.180242523302981,0.19937143420268058,0.49636636937474404,-1.3043657189241802,2.5198335799197316,-0.05728979812408503,-0.6654766900552636,-0.10086760481754659,0.01455613124763698,0.17419812835224646,0.12623888646194564,47.03907623370173,47.03907623370173,5.0,5.0,CARGA,0
0.1,0.17961214899311922,0.199153572963367,0.4989200527628229,-1.3044225755020316,2.5536833880788676,-0.05685657785142248,-0.6655271552598471,-0.10084361943065392,0.014560672723297793,0.17433904931058344,0.12660152474421554,47.154673407237155,47.154673407237155,5.0,5.0,CARGA,0
0.101,0.17897262439014242,0.1989333586461176,0.5015074741655642,-1.3044789799077918,2.5874214027412434,-0.056404405760307884,-0.6655785686618295,-0.10081921609316874,0.014565766183655182,0.1744815626111107,0.12696904754516788,47.26704629059864,47.26704629059864,5.0,5.0,CARGA,0
