t,q1,q2,q3,q4,dq1,dq2,dq3,dq4,u1,u2,F1,F2,footx,footy,footz,phase
3.92669274793573,-3.84431150661104,0.10457836425734,1.42942131890256,-2.11972375427216,-1.07032504502412,-0.64222850590315,1.28207821512213,3.24131791977979,1.52234165436875,4.66559999999159,-8.87361862508468,24.5015249471699,-0.43622849973079,0.31804178324741,9.18588555914868e-10,1
3.92794274793573,-3.84565483438843,0.103773113504383,1.43100472431637,-2.11563771359323,-1.07898410684235,-0.646168297551781,1.25119066463625,3.29644504408604,1.49351651811412,4.66559999998499,-8.85041548263875,24.5082842168844,-0.436363077929857,0.318139900415268,9.28845944603296e-10,1
3.92919274793573,-3.84700892850983,0.102962954561969,1.43254884930705,-2.11148239896898,-1.08755107032909,-0.65008166735567,1.21923160811016,3.35215519933278,1.46447506195301,4.6655999999613,-8.82738677480802,24.516032966819,-0.436499664217344,0.318239481615379,9.401091780048e-10,1
3.93044274793573,-3.84837367348907,0.102147920322161,1.43405236346322,-2.10725708603915,-1.09602541386547,-0.65396870961745,1.1862164063705,3.40844051737757,1.43523618797035,4.66559999988093,-8.80462788496447,24.5247061065087,-0.436638276819094,0.318340540139629,9.48153109844863e-10,1
3.93169274793573,-3.84974895326608,0.101328043714036,1.43551395687473,-2.10296106127316,-1.10440670868578,-0.657829429247669,1.15216150926202,3.46529258698506,1.40581887134177,4.66559999961898,-8.7822331281207,24.5342355922473,-0.436778933849011,0.31844308920596,9.57562662842748e-10,1
3.93294274793573,-3.85113465133166,0.100503357734565,1.43693234111447,-2.09859362204527,-1.11269461722193,-0.661663737476098,1.11708441445267,3.52270247290862,1.37624214744929,4.66559999806237,-8.76029564680138,24.5445504384262,-0.436921653314349,0.318547141938323,9.68969099401917e-10,1
3.93419274793573,-3.85253065080074,0.0996738954908652,1.43830624992586,-2.09415407684515,-1.12088889212955,-0.665471450059525,1.08100364346914,3.58066072864981,1.34652509960348,4.66559997586583,-8.73890728338341,24.5555766302021,-0.437066453101053,0.318652711367014,9.79539208426083e-10,1
3.93544274793573,-3.85393683449742,0.0988396903254661,1.43963444031858,-2.08964174595936,-1.1289893749845,-0.669252287143892,1.04393870995577,3.63915741723053,1.31668684714925,4.66559999980675,-8.71815855524724,24.5672378477582,-0.437213350945978,0.318759810427531,9.86424282534148e-10,1
3.93669274793573,-3.85535308512084,0.0980007760870059,1.44091569491039,-2.08505596303029,-1.13699599381765,-0.673005873844044,1.00591005755874,3.69818215440702,1.28674653177214,4.66559994002665,-8.69813834772187,24.5794535424679,-0.437362364410629,0.318868451932247,9.96614563444909e-10,1
3.93794274793573,-3.85677928536038,0.0971571871724002,1.44214882262703,-2.0803960749748,-1.14490876111878,-0.676731736034913,0.966939015872479,3.75772412648655,1.25672330609334,4.65490994076721,-8.66969141244264,24.5197784579673,-0.437513510881918,0.318978648553559,1.00914832740218e-09,1
3.93919274793573,-3.85821531796378,0.0963089585759436,1.44333265925056,-2.07566144211899,-1.15272777268948,-0.680429298617476,0.927047774719294,3.81777210263386,1.2266363205523,4.59588618553904,-8.59805034494643,24.1333312583631,-0.437666807558468,0.31909041282295,1.01899086911439e-09,1
3.94044274793573,-3.85966106581549,0.0954561260184812,1.44446606837555,-2.07085143879865,-1.16045320620429,-0.684097885448066,0.886259351080191,3.87831445496813,1.19650471191726,4.53601320051952,-8.52268677560637,23.7414968059208,-0.437822271425067,0.319203757127509,1.0247847015421e-09,1
3.94169274793573,-3.86111641208904,0.0945987262211445,1.44554794347697,-2.0659654547438,-1.16808531853185,-0.68773671994227,0.844597524535464,3.93933920034456,1.16634759054719,4.47531909856387,-8.44360722302561,23.3444007437147,-0.437979919226223,0.319318693680771,1.03575925093635e-09,1
3.94294274793573,-3.86258124035183,0.0937367969611581,1.4465772083369,-2.06100289486901,-1.17562444335925,-0.691344921155367,0.802086791589522,4.00083401642013,1.13618402874745,4.41383236159291,-8.36082081230899,22.9421694303971,-0.438139767461548,0.319435234509168,1.04936198792871e-09,1
3.94419274793573,-3.86405543462746,0.0928703771283678,1.44755281745362,-2.05596317934237,-1.18307098985422,-0.694921502203821,0.758752338896411,4.06278625317865,1.1060330487255,4.35158182341804,-8.27433923947918,22.5349298742242,-0.438301832373032,0.319553391449331,1.05846702409818e-09,1
3.94544274793573,-3.86553887946627,0.0919995068567277,1.44847375684722,-2.05084574410272,-1.19042544108157,-0.698465370313839,0.714620009770886,4.12518295182107,1.0759136106831,4.28859665204893,-8.18417673694656,22.1228096531369,-0.438466129922055,0.31967317614185,1.06327428112118e-09,1
3.94669274793573,-3.86703146008257,0.0911242277974204,1.44933904582428,-2.04565004205855,-1.19768835109048,-0.701975327525019,0.669716238947998,4.18801088400099,1.04584460097997,4.22490632908096,-8.09035005194207,21.7059367860079,-0.43863267576259,0.319794600001807,1.07500865154098e-09,1
3.94794274793573,-3.86853306244767,0.0902445831897211,1.4501477371479,-2.04037554278103,-1.20486034213517,-0.705450067265294,0.624068006625652,4.25125656571993,1.01584482115264,4.16054063132633,-7.99287840000548,21.2844396809093,-0.438801485230597,0.3199176742084,1.0895857098514e-09,1
3.94919274793573,-3.87004357334563,0.0893606179250666,1.45089891731163,-2.03502173251926,-1.21194210313575,-0.708888173023257,0.577702811403329,4.31490626777076,0.985932976121293,4.09552961355747,-7.89178340612808,20.8584470971233,-0.438972573332246,0.320042409700039,1.09796967177889e-09,1
